formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,5,17,32.5
Kathmandu Airport,366,2015,1,5,18,271.25
Kathmandu Airport,366,2015,1,5,19,65
Kathmandu Airport,366,2015,1,5,20,87
Kathmandu Airport,366,2015,1,5,21,76.5
Kathmandu Airport,366,2015,1,5,22,67
Kathmandu Airport,366,2015,1,5,23,107.5
Kathmandu Airport,366,2015,1,6,0,28.25
Kathmandu Airport,366,2015,1,6,1,104
Kathmandu Airport,366,2015,1,6,2,120.25
Kathmandu Airport,366,2015,1,6,3,111.25
Kathmandu Airport,366,2015,1,6,4,135.5
Kathmandu Airport,366,2015,1,6,5,118
Kathmandu Airport,366,2015,1,6,6,170.75
Kathmandu Airport,366,2015,1,6,7,114.75
Kathmandu Airport,366,2015,1,6,8,214.25
Kathmandu Airport,366,2015,1,6,9,205.5
Kathmandu Airport,366,2015,1,6,10,207.5
Kathmandu Airport,366,2015,1,6,11,228.25
Kathmandu Airport,366,2015,1,6,12,160.5
Kathmandu Airport,366,2015,1,6,13,72.75
Kathmandu Airport,366,2015,1,6,14,154.75
Kathmandu Airport,366,2015,1,6,15,130
Kathmandu Airport,366,2015,1,6,16,146
Kathmandu Airport,366,2015,1,6,17,95
Kathmandu Airport,366,2015,1,6,18,126.25
Kathmandu Airport,366,2015,1,6,19,110.75
Kathmandu Airport,366,2015,1,6,20,24.75
Kathmandu Airport,366,2015,1,6,21,213.5
Kathmandu Airport,366,2015,1,6,22,115.5
Kathmandu Airport,366,2015,1,6,23,102.25
Kathmandu Airport,366,2015,1,7,0,125.5
Kathmandu Airport,366,2015,1,7,1,127
Kathmandu Airport,366,2015,1,7,2,168.75
Kathmandu Airport,366,2015,1,7,3,136.75
Kathmandu Airport,366,2015,1,7,4,117.5
Kathmandu Airport,366,2015,1,7,5,139.25
Kathmandu Airport,366,2015,1,7,6,241.25
Kathmandu Airport,366,2015,1,7,7,226
Kathmandu Airport,366,2015,1,7,8,255.75
Kathmandu Airport,366,2015,1,7,9,257
Kathmandu Airport,366,2015,1,7,10,240.75
Kathmandu Airport,366,2015,1,7,11,215.75
Kathmandu Airport,366,2015,1,7,12,258.25
Kathmandu Airport,366,2015,1,7,13,138.75
Kathmandu Airport,366,2015,1,7,14,92
Kathmandu Airport,366,2015,1,7,15,147.5
Kathmandu Airport,366,2015,1,7,16,183
Kathmandu Airport,366,2015,1,7,17,125.5
Kathmandu Airport,366,2015,1,7,18,39.25
Kathmandu Airport,366,2015,1,7,19,69.25
Kathmandu Airport,366,2015,1,7,20,20
Kathmandu Airport,366,2015,1,7,21,40.75
Kathmandu Airport,366,2015,1,7,22,51.5
Kathmandu Airport,366,2015,1,7,23,75.25
Kathmandu Airport,366,2015,1,8,0,43
Kathmandu Airport,366,2015,1,8,1,45.75
Kathmandu Airport,366,2015,1,8,2,123.5
Kathmandu Airport,366,2015,1,8,3,176.5
Kathmandu Airport,366,2015,1,8,4,128
Kathmandu Airport,366,2015,1,8,5,184.75
Kathmandu Airport,366,2015,1,8,6,249.5
Kathmandu Airport,366,2015,1,8,7,287.75
Kathmandu Airport,366,2015,1,8,8,198.5
Kathmandu Airport,366,2015,1,8,9,194.5
Kathmandu Airport,366,2015,1,8,10,152.25
Kathmandu Airport,366,2015,1,8,11,240.5
Kathmandu Airport,366,2015,1,8,12,159.75
Kathmandu Airport,366,2015,1,8,13,68
Kathmandu Airport,366,2015,1,8,14,128
Kathmandu Airport,366,2015,1,8,15,187.5
